event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,custom3,company,audience,subject,geo_area,tags,host_org,rsvp_url
13,Gloom!,Y,7/11/15 16:00,7/11/15 18:00,Card Game,"Card Game, Gloom",,"<br /> The world of Gloom is a sad and benighted place. The sky is gray, the tea is cold, and a new tragedy lies around every corner. Debt, disease, heartache, and packs of rabid flesh-eating mice -- just when it seems like things can't get any worse, they do. But some say that one's reward in the afterlife is based on the misery endured in life. If so, there may yet be hope -- if not in this world, then in the peace that lies beyond.<br /> <br /> In the Gloom card game, you assume control of the fate of an eccentric family of misfits and misanthropes. The goal of the game is sad, but simple: you want your characters to suffer the greatest tragedies possible before passing on to the well-deserved respite of death. You'll play horrible mishaps like Pursued by Poodles or Mocked by Midgets on your own characters to lower their Self-Worth scores, while trying to cheer your opponents' characters with marriages and other happy occasions that pile on positive points. The player with the lowest total Family Value wins.<br /> <br /> Printed on transparent plastic cards, Gloom features an innovative design by noted RPG author Keith Baker. Multiple modifier cards can be played on top of the same character card; since the cards are transparent, elements from previously played modifier cards either show through or are obscured by those played above them. You'll immediately and easily know the worth of every character, no matter how many modifiers they have. You've got to see (through) this game to believe it!<br />",,Chad Keifer,,,,,Gaming Table 3,,,,,,,,,,
14,Horus Heresy: Victory is Vengeance,Y,8/11/15 12:00,8/11/15 16:00,Miniatures,"Horus Heresy, Miniatures",,"Planetwide operations weren&acirc;&euro;&trade;t the only type of battle being waged by the infighting legions during the Heresy. Amongst the ruins of the Choral City and Siren Hold, the benighted caverns of Calth or the volcanic crags of Istvaan V small bands of Astartes hunted each other down mercilessly. This is war- fare distilled down into its most bitter form, where death is a guarantee and the only thing driving day to day existence is to deliver vengeance upon your foes.<br /> <br /> Scrounge an extra clip for your bolter, check your armor seals and gather the few remaining loyal brothers to your side as you prepare to do battle on a personal scale! Before the event play- ers will be split into Survivors and Exterminators. Throughout the day VPs will be tallied and one side will be declared the victor.<br /> <br /> During this event you will play 3 games on battlefields cluttered with ruins or close corridor environs. Gameplay will be more focused on movement and outmaneuvering your opponent before driving home the killing blow. All the while you&acirc;&euro;&trade;ll need to gather supply points to upkeep your weaponry and armor between games.<br /> <br /> This is a Horus Heresy specific variant utilizing the Tactical Strike rules. As such, it requires the use of the Forge World Horus Heresy Books. In particular pages 166-177 of Book 3. Players will need to be quite familiar with this variant ruleset.<br /> <br /> What makes Tactical Strike unique is that models are pur- chased on an individual basis, allowing you to create a force of mixed legions armed with an eclectic array of weaponry. Each participant will have 3 army lists prepared at 200, 250 and 300 point levels. In addition players may choose up to 3 characters from a separate pool of 150 points. This force will be generated from Horus Heresy Books 1-4.<br /> <br /> Play aids will be made available to speed up and clarify play. Please email erraneous@gmail.com for all players pack requests.",,Chad Keifer,,,,,Miniatures,,,,,,,,,,
15,Persona Recap Event,Y,6/11/15 22:00,7/11/15 0:00,Anime,"Anime, Video Game",,We will be watching Persona 3 The Movie 1: Spring of Birth as a recap from last year.<br /> <br /> (Speed Run Alley),,Tracy Booze,,,,,Speed Run Alleyway,,,,,,,,,,
16,D&D organized Play,Y,6/11/15 19:00,7/11/15 0:00,Role Playing,organized play,,Organized Dungeons and Dragons Next.,,Glenn Berman,,,,,RPGA Table 2,,,,,,,,,,
17,D&D organized Play,Y,7/11/15 9:00,7/11/15 14:00,Role Playing,organized play,,Organized play for Dungeons and Dragons Next.,,Glenn Berman,,,,,RPG Area,,,,,,,,,,
18,D&D organized Play,Y,7/11/15 14:00,7/11/15 19:00,Role Playing,organized play,,Organized play for D&D Next,,Glenn Berman,,,,,RPG Area,,,,,,,,,,
19,D&D organized Play,Y,7/11/15 19:00,8/11/15 0:00,Role Playing,organized play,,Organized play for D&D Next,,Glenn Berman,,,,,RPG Area,,,,,,,,,,
2,Flashbax RPG Clinic,Y,7/11/15 17:00,8/11/15 2:00,Role Playing,Presentation,,I would like to host a basic A&A style open forum to help players with issues running or playing in campaigns. We would give advice or input to help them further they play styles and find solutions for situations that have caused issues.,,Erik Braley,,,,,RPGA Table 2,,,,,,,,,Flashbax,
20,D&D organized Play,Y,8/11/15 9:00,8/11/15 14:00,Role Playing,organized play,,Organized play for D&D next,,Glenn Berman,,,,,RPG Area,,,,,,,,,,
21,D&D organized Play,Y,8/11/15 14:00,8/11/15 19:00,Role Playing,organized play,,Organized play for D&D Next,,Glenn Berman,,,,,RPG Area,,,,,,,,,,
22,Gauntlet,Y,7/11/15 21:00,7/11/15 23:00,Computer Game,Video Game,,"Extra Life stream of playing Gauntlet on PC. If you have your own rig and copy of the game you are welcome to join in that way, otherwise shared screen is an allowed option with this game (This means you don't need to bring anything to play)",,Matt Nelles,,,,,Gaming Table 2,,,,,,,,,Voidware Gaming,
23,PayDay 2,Y,6/11/15 23:00,7/11/15 1:00,Computer Game,Video Game,,Getting a group of 4 people together to play PayDay 2. (This event may require you to bring your own PC and own your own copy of the game),,Matt Nelles,,,,,Gaming Table 1,,,,,,,,,Voidware Gaming,
24,Samurai Spirts,Y,6/11/15 19:00,6/11/15 21:00,Board Game,"Board Game, Card Game",,Like the movie Seven Samurai. Then come play the game Samurai Spirits. Were you and seven team mates must battle a band of raiders from destroying a village. Work together and unleash your animal spirit.,,Gary Utecht,,,,,Gaming Table 2,,,,,,,,,,
25,Legends Of DnD,Y,6/11/15 17:00,6/11/15 23:00,Role Playing,Role Playing,,A Home-brewed 3.5 DnD Table Top RPG.... with LEGENDS OF ZELDA?!?!?!?<br /> <br /> Absolutely that. I game with a story line and realm of Legends of Zelda with the RP style of DnD.<br /> <br /> The best of both worlds designed to immerse the players in a realm of imagination,,Tristan (Skittle),,,,,RPG Area,,,,,,,,,,
26,Tales of Zesteria Marathon,Y,7/11/15 10:00,8/11/15 10:00,Video Game,Video Game,,"Newly released, we are going to see how far we can get in Tales of Zesteria (PS4 version). Yes, we know, we are crazy, let the Tales begin.",,Tracy Booze,,,,,Speed Run Alleyway,,,,,,,,,,
27,Don't Starve Together,Y,7/11/15 17:00,8/11/15 0:00,Computer Game,Video Game,,"Join us on an epic adventure in a world only Tim Burton and Lovecraft could fathom! In this world, starving is the least of your worries as you struggle to survive the elements and creatures the lurk around every corner.",,Scarlet Heberlig,,,,,Gaming Table 1,,,,,,,,,Voidware Gaming,
28,LoZ Dungeons & Dragons,Y,6/11/15 17:00,6/11/15 23:00,Role Playing,Dungeons & Dragons,,Legend of Zelda tabletop RPG using D&D format rules/system. Bring your dice and your adventurer's pack!,,Tristan Shippert,,,,,RPGA Table 1,,,,,,,,,,
29,MTG EDH Design Challenge - Will of the Council,Y,7/11/15 14:00,7/11/15 15:30,Game Design,Card Game,,"Elder Dragon Highlander - one of the most iconic formats of Magic: The Gathering, featuring a deck constructed with 100 singleton cards around a specific 'General' that defines the colors you must construct with. <br /> <br /> While many legendary creatures exist for you to build a deck around, have you ever wanted to design your very own 'EDH General'?<br /> <br /> Here's your chance! Five seats exist, where you may sit down and become one of the members of 'The Council'. All council members will brainstorm and design an EDH General, which will be brought back to vote on whether the created creature is thematic and awesome or just plain broken.<br /> <br /> If your design is chosen to be worthy by the Council, it may have a chance to be offered in DSU's regular EDH League, for others to play! <br /> <br /> Get your game design on, and help shape some of the generals that we all know Wizards of the Coast has been too afraid to make.",,Galacia Barton,,,,,Gaming Table 3,,,,,,,,,DSU EDH League,
3,X-Wing Escalation,Y,7/11/15 9:00,7/11/15 10:00,Miniatures,Tournament,,First round of an X-Wing Miniatures Escalation Tournament. <br /> Participants are expected to bring all the materials needed to play. Please bring a mat if you are able.<br /> <br /> Using the Offical Rules: https://images-cdn.fantasyflightgames.com/filer_public/c7/6f/c76f220b-5efd-4afc-912b-e67dfcda034e/x-wing_escalationrules_v301.pdf,,Jeremy Haugen,,,,,Miniatures,,,,,,,,,,
30,Society in Shadow LARP,N,6/11/15 17:00,6/11/15 17:00,LARP,"Role Playing, Interactive Role Playing",,Friday Night - <br /> 4:00 pm - GO Huddle <br /> 5:00 pm - Game on!<br /> 7:00 pm - Dinner will be ready<br /> 1:00 am - GO Huddle - Break from ongoing scene and return if necessary<br /> 2:00 am - Hard stop for game<br /> GO Curfew is 3:00 am for those at Break of Dawn on Saturday<br /> <br /> <br /> Saturday -<br /> 12:00 pm - Break of Dawn - Check ‚ÄòInto the Void‚Äô > Daybreak Ritual for player pull list<br /> 6:00 pm - Dinner Break<br /> 1:00 am - GO Huddle - Break from ongoing scene and return if necessary<br /> 2:00 am - Hard stop for game<br /> GO Curfew is 3:00 am for those at Break of Dawn on Sunday<br /> <br /> <br /> Sunday -<br /> 12:00 pm - Break of Dawn<br /> 4:00 pm - Game Called - GO Huddle<br /> 5:30 pm - Awards<br /> <br /> 3 round x 6 chairs (per usual)<br /> 3 8ft long tables and the one short one (per usual),,Zach Beerman,,,,,General Gaming Area,,,,,,,,,,
31,Over Night Axis and Allies,Y,7/11/15 23:59,8/11/15 7:59,Board Game,"Board Game, Miniatures",,What better way to spend a Saturday night than to take over the world.,,Zene Huber,,,,,Gaming Table 2,,,,,,,,,,
32,Super Smash Bros. Wii U Tournament,Y,7/11/15 17:00,7/11/15 19:00,Video Game,Video Game,,"Come Smash it up against other competitors in the Smash Bros. Wii U tournament! Gamecube controllers will be provided, but you will need to bring your own controller if you prefer other types of controller.",,Skyler Wittmer,,,,,Video Game Alleyway,,,,,,,,,,
33,Keep Talking And Nobody Explodes,Y,7/11/15 14:03,7/11/15 16:03,Computer Game,"Computer Game, Interactive Role Playing, Video Game",,"Ever wish you could defuse a bomb, well here is your opportunity. In this game one person is diffusing a bomb while the others are explaining how to do this with a manual. This game can have as many participants as it wants. Also uses the Oculus Rift for diffusing the bomb.",,Bizkit,,,,,Gaming Table 1,,,,,,,,,Voidware Gaming,
34,Extra Life,N,6/11/15 19:00,7/11/15 19:00,Charity Event,"Board Game, Card Game, Computer Game, Miniatures, Role Playing, Video Game",,Extra Life is a 24 hour charity gaming streaming event held every year to raise money for children's miracle network. We are turning this into a Nanocon long event this year!!,,Matthew Nelles,,,,,Gaming Table 1,,,,,,,,,Voidware Gaming,
35,Super Smash Bros. Wii U Amiibo Tournament,Y,7/11/15 20:00,7/11/15 22:00,Video Game,Video Game,,"Do you feel like your Amiibo is the best it can be? Come test its mettle at Nanocon's Smash for Wii U Amiibo Tournament!<br /> <br /> Notes: This is not like the Screwattack Amiibo Cockfight if you've heard of that, so don't worry, your Amiibo is safe from harm!<br /> Also, if we have enough Amiibos, perhaps a couple 8-Amiibo Smash games can place?",,Skyler Wittmer,,,,,Video Game Alleyway,,,,,,,,,,
36,Boss Monster,Y,8/11/15 11:00,8/11/15 12:00,Card Game,Card Game,,Session of Boss Monsters card game.,,Zachary Truesdell,,,,,Gaming Table 2,,,,,,,,,,
37,Game of Thrones the Board Game,Y,7/11/15 9:30,7/11/15 12:30,Board Game,Board Game,,Session of Game of Thrones the Board Game.,,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
38,FireFly - The Board Game,Y,7/11/15 14:00,7/11/15 18:00,Board Game,"Board Game, Card Game",,"FireFly the board game, is a game where you play a ships captain from the FireFly series. You attempt to complete a series of missions, earning money, crewmembers and street cred. Find a Ship, Get a Crew, and Keep Flying.<br /> <br /> We would be playing with all the expansions, except we would not be using the Player v. Player rules. I would Oversee the game and make final decisions on questions, and would assist new players in getting started. We would have room for up to 9 players. I would be playing the Blitz rules which gets the game going quickly.",,Matthew Betzen,,,,,Gaming Table 5,,,,,,,,,,
39,Society in Shadow LARP Session 1,Y,6/11/15 17:00,7/11/15 3:00,LARP,"Interactive Role Playing, Role Playing",,Friday Night - <br /> 4:00 pm - GO Huddle <br /> 5:00 pm - Game on!<br /> 7:00 pm - Dinner will be ready<br /> 1:00 am - GO Huddle - Break from ongoing scene and return if necessary<br /> 2:00 am - Hard stop for game<br /> GO Curfew is 3:00 am for those at Break of Dawn on Saturday,,Zach Beerman,,,,,General Gaming Area,,,,,,,,,The Organization,
4,X-Wing Escalation,Y,7/11/15 10:00,7/11/15 11:30,Miniatures,Tournament,,Second round of an X-Wing Miniatures Escalation Tournament. <br /> Participants are expected to bring all the materials needed to play. Please bring a mat if you are able.<br /> <br /> Using the Offical Rules: https://images-cdn.fantasyflightgames.com/filer_public/c7/6f/c76f220b-5efd-4afc-912b-e67dfcda034e/x-wing_escalationrules_v301.pdf,,Jeremy Haugen,,,,,Miniatures,,,,,,,,,,
40,Society in Shadow LARP Session 2,Y,7/11/15 12:00,8/11/15 3:00,LARP,"Role Playing, Interactive Role Playing",,Saturday -<br /> 12:00 pm - Break of Dawn - Check ‚ÄòInto the Void‚Äô > Daybreak Ritual for player pull list<br /> 6:00 pm - Dinner Break<br /> 1:00 am - GO Huddle - Break from ongoing scene and return if necessary<br /> 2:00 am - Hard stop for game<br /> GO Curfew is 3:00 am for those at Break of Dawn on Sunday,,Zach Beerman,,,,,General Gaming Area,,,,,,,,,The Organization,
41,Society in Shadow LARP Session 3,Y,8/11/15 12:00,8/11/15 18:00,LARP,"Role Playing, Interactive Role Playing",,Sunday -<br /> 12:00 pm - Break of Dawn<br /> 4:00 pm - Game Called - GO Huddle<br /> 5:30 pm - Awards,,Zach Beerman,,,,,General Gaming Area,,,,,,,,,The Organization,
42,The Wonders of the Occult,Y,6/11/15 18:00,6/11/15 19:00,Panel,Panel,,"This panel covers the topic of occult, the different types, how it has evolves, and how it influences video games and other entertainment today.",,Lina Love,,,,,Gaming Table 4,,,,,,,,,,
43,Boss Monster,Y,7/11/15 17:00,7/11/15 17:30,Card Game,"Board Game, Card Game",,"Inspired by a love of classic video games, Boss Monster: The Dungeon Building Card Game pits 2-4 players in a competition to build the ultimate side-scrolling dungeon. Players compete to lure and destroy hapless adventurers, racing to outbid one another to see who can build the most enticing, treasure-filled dungeon. The goal of Boss Monster is to be the first Boss to amass ten Souls, which are gained when a Hero is lured and defeated &acirc;&euro;"" but a player can lose if his Boss takes five Wounds from Heroes who survive his dungeon.",,Sergio A Mendez,,,,,Gaming Table 2,,,,,,,,,,
44,Seven Wonders,Y,6/11/15 18:00,6/11/15 19:00,Card Game,"Board Game, Card Game",,"You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times.",,Sergio A Mendez,,,,,Gaming Table 2,,,,,,,,,,
45,Zombie Dice,Y,7/11/15 14:00,7/11/15 14:30,Board Game,Board Game,,Eat brains. Don't get shotgunned.,,Sergio A Mendez,,,,,Gaming Table 2,,,,,,,,,,
46,Betrayal at House on the Hill,Y,7/11/15 19:00,7/11/15 20:30,Board Game,Board Game,,"Betrayal at House on the Hill quickly builds suspense and excitement as players explore a haunted mansion of their own design, encountering spirits and frightening omens that foretell their fate. With an estimated one hour playing time, Betrayal at House on the Hill is ideal for parties, family gatherings or casual fun with friends.",,Sergio A Mendez,,,,,Gaming Table 2,,,,,,,,,,
47,Pathfinder Module: We Be Goblins,Y,7/11/15 10:00,7/11/15 14:00,Role Playing,"Board Game, Miniatures",,"A most unusual adventure for 1st-level goblin characters.<br /> <br /> The Licktoad goblins of Brinestump Marsh have stumbled upon a great treasure&acirc;&euro;""fireworks! Yet unfortunately for them, the tribe member responsible for the discovery has already been exiled for the abhorrent crime of writing (which every goblin knows steals words from your head). To remedy this situation, the Licktoads&acirc;&euro;&trade; leader, His Mighty Girthness Chief Rendwattle Gutwad, has declared that the greatest heroes of the tribe must venture forth to retrieve the rest of the fireworks from a derelict ship stranded in the marsh. In order to prove themselves as the Licktoads&acirc;&euro;&trade; bravest goblins, the PCs must complete a series of dangerous dares, from swallowing bull slugs and braving the dreaded Earbiter to dancing with Squealy Nord himself. Yet even once they&acirc;&euro;&trade;ve proven their mettle, the adventure is just beginning. For the ship in question is far from uninhabited, and Vorka the cannibal goblin would like nothing better than a few tasty visitors....<br /> <br /> We Be Goblins! is an adventure for 1st-level characters in which the PCs play a horde of malicious and murderous goblins, written for the Pathfinder Roleplaying Game and compatible with the 3.5 edition of the world's oldest RPG. The adventure takes place outside the town of Sandpoint in the Pathfinder campaign setting, but can easily be adapted for any campaign world. It also serves as a preview of Pathfinder Player Companion: Goblins of Golarion, and as an optional prequel to Pathfinder Adventure Path's upcoming Jade Regent Adventure Path.",,Josh Pierce,,,,,RPGA Table 1,,,,,,,,,Pathfinder Society,
48,We Be Goblins Too!,Y,7/11/15 17:00,7/11/15 21:00,Role Playing,"Board Game, Miniatures",,"The Licktoads, once the great and fierce goblin tribe in Brinestump Marsh, were defeated by human adventurers! All that remains of the tribe are its four goblin ""heroes""&acirc;&euro;""Reta Bigbad the fighter, Chuffy Lickwound the rogue, Poog the cleric of Zarongel, and Mogmurch the alchemist. Homeless and bored, they left their swampy homeland to join the neighboring goblin tribe, the Birdcrunchers.<br /> <br /> The good news is that the Birdcrunchers are willing to let the goblin heroes join their tribe.<br /> <br /> The better news is that the Birdcrunchers have heard of these four, and want one of them to become their new chieftain.<br /> <br /> The bad news is that before the goblins can join, they'll need to endure a series of dangerous and humiliating tests. Very dangerous. Very humiliating.<br /> <br /> The worse news is that lately Birdcruncher chieftains have had really short lifespans&acirc;&euro;""they're being killed by the pet fire-breathing boar of a local ogre who wants the Birdcruncher land as his own.<br /> <br /> Can the four heroes of the now-dead Licktoad tribe save the Birdcrunchers and, in so doing, become their new leaders?<br /> <br /> ""We Be Goblins Too!"" is an adventure for four 3rd-level goblin characters, written for the Pathfinder Roleplaying Game and compatible with the 3.5 edition of the world's oldest roleplaying game. The adventure takes place near the coastal town of Sandpoint in the Pathfinder campaign setting, and serves as a sequel to ""We Be Goblins,"" Paizo's popular 2011 Free RPG Day adventure!",,Josh Pierce,,,,,RPGA Table 1,,,,,,,,,Pathfinder Society,
49,Lords of Waterdeep,Y,8/11/15 9:30,8/11/15 11:00,Board Game,Board Game,,"Waterdeep, the City of Splendors‚Ä""the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In this game, the players are powerful lords vying for control of this great city. Its treasures and resources are ripe for the taking, and that which cannot be gained through trickery and negotiation must be taken by force. Lords of Waterdeep is a strategy board game for 2-5 players. You take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder‚Ä""or help‚Ä""the other lords by playing Intrigue cards to enact your carefully laid plans.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
5,X-Wing Escalation,Y,7/11/15 12:30,7/11/15 14:10,Miniatures,Tournament,,Third round of an X-Wing Miniatures Escalation Tournament. <br /> Participants are expected to bring all the materials needed to play. Please bring a mat if you are able.<br /> <br /> Using the Offical Rules: https://images-cdn.fantasyflightgames.com/filer_public/c7/6f/c76f220b-5efd-4afc-912b-e67dfcda034e/x-wing_escalationrules_v301.pdf,,Jeremy Haugen,,,,,Miniatures,,,,,,,,,,
50,Lords of Waterdeep,Y,6/11/15 18:00,6/11/15 19:30,Board Game,Board Game,,"Waterdeep, the City of Splendors‚Ä""the most resplendent jewel in the Forgotten Realms, and a den of political intrigue and shady back-alley dealings. In this game, the players are powerful lords vying for control of this great city. Its treasures and resources are ripe for the taking, and that which cannot be gained through trickery and negotiation must be taken by force. Lords of Waterdeep is a strategy board game for 2-5 players. You take on the role of one of the masked Lords of Waterdeep, secret rulers of the city. Through your agents, you recruit adventurers to go on quests on your behalf, earning rewards and increasing your influence over the city. Expand the city by purchasing new buildings that open up new actions on the board, and hinder‚Ä""or help‚Ä""the other lords by playing Intrigue cards to enact your carefully laid plans.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
51,Quantum,Y,6/11/15 17:00,6/11/15 18:00,Board Game,Board Game,,"Your fleet of loyal ships, powered by the might of quantum probability itself, carries your empire to the far-flung stars. How will history remember you? As a ravenous destroyer? A clever tactician? A dauntless explorer? Command your armada, construct world-shattering technologies and rally the remnants of humanity for a final confrontation. With elegant mechanics, an infinity of scenarios and easy-to-learn rules that lead to deep gameplay, Quantum is a one-of-a-kind game of space combat, strategy and colonization that will satisfy both hard-core and casual players.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
52,Quantum,Y,8/11/15 12:30,8/11/15 13:30,Board Game,Board Game,,"Your fleet of loyal ships, powered by the might of quantum probability itself, carries your empire to the far-flung stars. How will history remember you? As a ravenous destroyer? A clever tactician? A dauntless explorer? Command your armada, construct world-shattering technologies and rally the remnants of humanity for a final confrontation. With elegant mechanics, an infinity of scenarios and easy-to-learn rules that lead to deep gameplay, Quantum is a one-of-a-kind game of space combat, strategy and colonization that will satisfy both hard-core and casual players.",,Zachary Truesdell,,,,,Gaming Table 1,,,,,,,,,,
53,Acquire,Y,7/11/15 11:00,7/11/15 12:00,Board Game,"Money, Strategy",,"The Right Price at the Right Time -- at the Right Price!<br /> <br /> As a powerful real estate tycoon, there are only seven hotel chains in the world worthy of your attention. Using nothing but your wealth and wits, you must vie against other business magnates to manipulate construction and capitalize on mergers -- buying, trading, and selling stocks in order to get the greatest return on your investments.<br /> <br /> Acquire challenges you to pit your resources snf resolve against other players in this high-finance game of speculation and strategy!",,John Moilan,,,,,Gaming Table 3,,,,,,,,,,
54,Acquire,N,7/11/15 11:00,7/11/15 12:00,Board Game,"Money, Strategy",,"The Right Price at the Right Time -- at the Right Price!<br /> <br /> As a powerful real estate tycoon, there are only seven hotel chains in the world worthy of your attention. Using nothing but your wealth and wits, you must vie against other business magnates to manipulate construction and capitalize on mergers -- buying, trading, and selling stocks in order to get the greatest return on your investments.<br /> <br /> Acquire challenges you to pit your resources snf resolve against other players in this high-finance game of speculation and strategy!",,John Moilan,,,,,Gaming Table 3,,,,,,,,,,
55,Monster Hunter 4 Gathering Hall,Y,7/11/15 15:00,7/11/15 17:00,Video Game,Video Game,,"Client: Zack the Lancer<br /> <br /> [SUMMARY]<br /> <br /> I'm looking for fellow hunters to fight monsters with. I don't care how big your armor or weapons are, or how small the prey; lets just have a good time. I also have a note here that goes as follows, ""You should to bring your own 3DS and game copy."" Whatever that means.",,Zachery Swope,,,,,Gaming Table 4,,,,,,,,,,
56,Pig Bowl!,Y,7/11/15 10:00,7/11/15 14:00,Role Playing,"Hilarity, pregen characters",,"You are a kobold, and as such you are fearless, feckless, and usually luckless. But you're a kobold, and this is your life!<br /> <br /> King Torg (All Hail King Torg!) wants to be entertained. As usual, he also wants food. In a rare moment of self-control, he gave the staff a day to get something arranged. Today is the First Annual Pig Bowl Tournament! Kobolds one and all, come and be entertained &acirc;&euro;"" or eaten, as the case may be...",,Norajane McIntyre,,,,,Gaming Table 2,,,,,,,,,Nuke-Con,
